concept,namespace,period_type,balance,statement
AccountingProfit,ifrs,duration,credit,P&L / Cash Flow
AccruedInterestExpense,mx_ccd,duration,debit,P&L / Cash Flow
AcquisitionAndAdministrationExpenseRelatedToInsuranceContracts,ifrs,duration,debit,P&L / Cash Flow
AcquisitionrelatedCostsForTransactionRecognisedSeparatelyFromAcquisitionOfAssetsAndAssumptionOfLiabilitiesInBusinessCombination,ifrs,duration,debit,P&L / Cash Flow
AcquisitionrelatedCostsRecognisedAsExpenseForTransactionRecognisedSeparatelyFromAcquisitionOfAssetsAndAssumptionOfLiabilitiesInBusinessCombination,ifrs,duration,debit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsBiologicalAssets,ifrs,duration,debit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsDeferredAcquisitionCostsArisingFromInsuranceContracts,ifrs,duration,debit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsIntangibleAssetsAndGoodwill,ifrs,duration,debit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsIntangibleAssetsOtherThanGoodwill,ifrs,duration,debit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsInvestmentProperty,ifrs,duration,debit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,ifrs,duration,credit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsOtherProvisions,ifrs,duration,credit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs,duration,debit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsReinsuranceAssets,ifrs,duration,debit,P&L / Cash Flow
ActuarialGainsLossesArisingFromChangesInDemographicAssumptionsNetDefinedBenefitLiabilityAsset,ifrs,duration,debit,P&L / Cash Flow
ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsNetDefinedBenefitLiabilityAsset,ifrs,duration,debit,P&L / Cash Flow
AdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssets,ifrs,duration,,P&L / Cash Flow
AdditionalInformationAboutEntityExposureToRisk,ifrs,duration,,P&L / Cash Flow
AdditionalInformationAboutNatureAndFinancialEffectOfBusinessCombination,ifrs,duration,,P&L / Cash Flow
AdditionalInformationAboutNatureOfAndChangesInRisksAssociatedWithInterestsInStructuredEntitiesExplanatory,ifrs,duration,,P&L / Cash Flow
AdditionalInformationAboutSharebasedPaymentArrangements,ifrs,duration,,P&L / Cash Flow
AdditionalLiabilitiesContingentLiabilitiesRecognisedInBusinessCombination,ifrs,duration,credit,P&L / Cash Flow
AdditionalProvisionsOtherProvisions,ifrs,duration,credit,P&L / Cash Flow
AdditionalRecognitionGoodwill,ifrs,duration,debit,P&L / Cash Flow
AdditionsFromAcquisitionsInvestmentProperty,ifrs,duration,debit,P&L / Cash Flow
AdditionsFromSubsequentExpenditureRecognisedAsAssetInvestmentProperty,ifrs,duration,debit,P&L / Cash Flow
AdditionsLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,ifrs,duration,credit,P&L / Cash Flow
AdditionsOtherThanThroughBusinessCombinationsBiologicalAssets,ifrs,duration,debit,P&L / Cash Flow
AdditionsOtherThanThroughBusinessCombinationsIntangibleAssetsOtherThanGoodwill,ifrs,duration,debit,P&L / Cash Flow
AdditionsOtherThanThroughBusinessCombinationsInvestmentProperty,ifrs,duration,debit,P&L / Cash Flow
